pixel,gps_true,drone_gps,drone_attitude
"(472, 234)","(-35.3632612, 149.1652381, 9.57)","(-35.36333608992153, 149.16520872603311, 0)","(-0.0015953687252476811, -0.00031987205147743225, 3.4685829321490687)"
"(473, 235)","(-35.3632612, 149.1652381, 9.57)","(-35.36333646391918, 149.16520833496412, 0)","(-0.0016540383221581578, -0.001385766314342618, 3.4686394373523157)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333608130416, 149.16520764902083, 0)","(0.0009118129964917898, -0.0017692173132672906, 3.468663994465963)"
"(472, 240)","(-35.3632612, 149.1652381, 9.57)","(-35.36333624918334, 149.16520802664948, 0)","(-0.005260020028799772, -0.002084695268422365, 3.46869403520693)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333635108991, 149.1652080176461, 0)","(-0.00120087293908, -0.0026108180172741413, 3.468882147465841)"
"(471, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333603871417, 149.1652077155363, 0)","(0.0006610497366636992, -0.002803187817335129, 3.468858305607931)"
"(471, 240)","(-35.3632612, 149.1652381, 9.57)","(-35.36333608504603, 149.1652080242796, 0)","(-0.005001199897378683, -0.0026028186548501253, 3.4689047972308558)"
"(471, 237)","(-35.3632612, 149.1652381, 9.57)","(-35.363335955983196, 149.16520777773366, 0)","(-0.0005134497187100351, -0.0022991348523646593, 3.4688311258899134)"
"(471, 237)","(-35.3632612, 149.1652381, 9.57)","(-35.36333580797213, 149.16520744702453, 0)","(0.0011483392445370555, -0.0020155319944024086, 3.468940083180563)"
"(471, 240)","(-35.3632612, 149.1652381, 9.57)","(-35.363335870842, 149.16520794067162, 0)","(-0.004253491293638945, -0.0016414980636909604, 3.468875233327047)"
"(472, 235)","(-35.3632612, 149.1652381, 9.57)","(-35.36333611632544, 149.16520795043368, 0)","(0.0005579281714744866, -0.0015140344621613622, 3.468926493321554)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.363335992460556, 149.16520758879642, 0)","(0.001255755894817412, -0.0013947179540991783, 3.469003979359762)"
"(472, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333607630626, 149.16520805854057, 0)","(-0.0040587978437542915, -0.0011591236107051373, 3.4688363710986536)"
"(472, 235)","(-35.3632612, 149.1652381, 9.57)","(-35.36333604103876, 149.16520792461984, 0)","(0.0007550562731921673, -0.0011702009942382574, 3.469149176274435)"
"(472, 237)","(-35.3632612, 149.1652381, 9.57)","(-35.3633359391349, 149.1652075086933, 0)","(0.0006482989410869777, -0.0012375452788546681, 3.468940321599142)"
"(472, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333612525563, 149.16520811103646, 0)","(-0.00440297182649374, -0.0013312915107235312, 3.468980852757589)"
"(472, 234)","(-35.3632612, 149.1652381, 9.57)","(-35.36333608922015, 149.1652080280881, 0)","(0.0013398645678535104, -0.0012704525142908096, 3.46889573732485)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333605403111, 149.16520784608846, 0)","(3.526487125782296e-05, -0.0013449315447360277, 3.4690261522876185)"
"(472, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333611453512, 149.16520813181077, 0)","(-0.004484496545046568, -0.0012583176139742136, 3.469032112752096)"
"(472, 234)","(-35.3632612, 149.1652381, 9.57)","(-35.363336087921056, 149.16520803304425, 0)","(0.0012910956284031272, -0.001266623381525278, 3.469032351170675)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.363336078980225, 149.16520801659973, 0)","(-0.000733537832275033, -0.0012425528839230537, 3.468985382710592)"
"(472, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333610177487, 149.1652081499359, 0)","(-0.004546708427369595, -0.001168543822132051, 3.469064776097433)"
"(472, 234)","(-35.3632612, 149.1652381, 9.57)","(-35.36333606609862, 149.16520796617007, 0)","(0.0016023756470531225, -0.0012500130105763674, 3.469102207814352)"
"(472, 238)","(-35.3632612, 149.1652381, 9.57)","(-35.363336013843096, 149.16520781152767, 0)","(-0.0018499258439987898, -0.0012002192670479417, 3.4689512888537806)"
"(473, 238)","(-35.3632612, 149.1652381, 9.57)","(-35.363336352947705, 149.1652081245252, 0)","(-0.003851691260933876, -0.0011056846706196666, 3.46918231645693)"
"(472, 234)","(-35.3632612, 149.1652381, 9.57)","(-35.36333604876637, 149.16520788798127, 0)","(0.001965980976819992, -0.0012617582688108087, 3.469118897114889)"
"(472, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333600422197, 149.16520773859358, 0)","(-0.0026036498602479696, -0.0012426499743014574, 3.4690614382373255)"
"(473, 238)","(-35.3632612, 149.1652381, 9.57)","(-35.36333635654066, 149.16520797632208, 0)","(-0.0032162806019186974, -0.0013312767259776592, 3.4691601435290735)"
"(472, 234)","(-35.3632612, 149.1652381, 9.57)","(-35.36333604187492, 149.1652078128662, 0)","(0.0023323637433350086, -0.0013327202759683132, 3.4689744154559534)"
"(472, 238)","(-35.3632612, 149.1652381, 9.57)","(-35.363336092747765, 149.1652080781949, 0)","(-0.0031552063301205635, -0.0012136868899688125, 3.469036881123678)"
"(473, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333646044746, 149.16520838438188, 0)","(-0.0030267145484685898, -0.0012946450151503086, 3.4691248575793665)"
"(472, 234)","(-35.3632612, 149.1652381, 9.57)","(-35.36333601955246, 149.16520778745144, 0)","(0.0024451131466776133, -0.0012655702885240316, 3.4691415468799036)"
"(472, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333596790504, 149.16520761843438, 0)","(-0.0020595344249159098, -0.0012479311553761363, 3.469231907521383)"
"(473, 237)","(-35.3632612, 149.1652381, 9.57)","(-35.363336435474736, 149.16520832854115, 0)","(-0.003806803375482559, -0.0012567247031256557, 3.4691413084613245)"
"(472, 235)","(-35.3632612, 149.1652381, 9.57)","(-35.36333598572, 149.16520766818482, 0)","(0.0019358197459951043, -0.0012707783607766032, 3.46924072900881)"
"(472, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333600137528, 149.1652076919989, 0)","(-0.0024302068632096052, -0.0013136152410879731, 3.4692073504077356)"
"(473, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.363336474005564, 149.1652084824638, 0)","(-0.0035011647269129753, -0.001245221239514649, 3.469253126774923)"
"(472, 234)","(-35.3632612, 149.1652381, 9.57)","(-35.36333596704985, 149.16520785837082, 0)","(0.0022358312271535397, -0.0009227620903402567, 3.4691315332995813)"
"(473, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.363336155086834, 149.16520786194735, 0)","(-0.0034054548013955355, -0.0005090220947749913, 3.4690633455859583)"
"(473, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333621825288, 149.16520824615802, 0)","(-0.002007559407502413, -0.00029041312518529594, 3.469153944646017)"
"(473, 234)","(-35.3632612, 149.1652381, 9.57)","(-35.36333608974225, 149.16520772302002, 0)","(0.002581607550382614, -0.0003779576509259641, 3.4692042509662073)"
"(473, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333615436275, 149.16520783012538, 0)","(-0.0032795066945254803, -0.0005496374214999378, 3.469119373952047)"
"(473, 235)","(-35.3632612, 149.1652381, 9.57)","(-35.36333635567326, 149.16520838174722, 0)","(-0.0017915093339979649, -0.0007820129976607859, 3.469231907521383)"
"(472, 234)","(-35.3632612, 149.1652381, 9.57)","(-35.36333597925926, 149.1652078679267, 0)","(0.0021543048787862062, -0.0009601746569387615, 3.4692187944995325)"
"(473, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.363336277826555, 149.16520791421496, 0)","(-0.0038630978669971228, -0.001032428233884275, 3.4691291491137903)"
"(473, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333639795432, 149.16520813828075, 0)","(-0.0018809300381690264, -0.0013242666609585285, 3.4692328611956995)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.363336091828806, 149.16520755699275, 0)","(0.0011818590573966503, -0.0019491417333483696, 3.4691558519946497)"
"(472, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333629177883, 149.16520804557885, 0)","(-0.004463749937713146, -0.002269980264827609, 3.46918756166567)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333629566673, 149.16520807144212, 0)","(-0.0014142838772386312, -0.002254691906273365, 3.469255034123556)"
"(472, 235)","(-35.3632612, 149.1652381, 9.57)","(-35.36333620455708, 149.1652078100718, 0)","(0.0009428227785974741, -0.0021633754950016737, 3.46920615831484)"
"(471, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333603884193, 149.16520826043404, 0)","(-0.004935700446367264, -0.0020485480781644583, 3.469194475804464)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.363336229301076, 149.16520797171083, 0)","(-0.0008675465360283852, -0.002050053793936968, 3.469257418309347)"
"(471, 237)","(-35.3632612, 149.1652381, 9.57)","(-35.36333580719696, 149.1652074749685, 0)","(0.0009740537498146296, -0.001972044352442026, 3.4691980520831507)"
"(471, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333601848622, 149.1652082346608, 0)","(-0.004791737999767065, -0.001971792196854949, 3.469210211430685)"
"(471, 235)","(-35.3632612, 149.1652381, 9.57)","(-35.36333599188414, 149.16520819154277, 0)","(-0.00031975991441868246, -0.0019009431125596166, 3.46922737756838)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333605797571, 149.16520769839605, 0)","(0.0006296524661593139, -0.0015706896083429456, 3.469179932271139)"
"(472, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333618181053, 149.16520822000095, 0)","(-0.005018765106797218, -0.0014621104346588254, 3.469196144734518)"
"(472, 235)","(-35.3632612, 149.1652381, 9.57)","(-35.36333607806431, 149.16520792601025, 0)","(0.0006527056102640927, -0.001353949774056673, 3.4692891279803675)"
"(472, 237)","(-35.3632612, 149.1652381, 9.57)","(-35.363335986144754, 149.16520760160665, 0)","(0.00011040973186027259, -0.0013436456210911274, 3.4691928068744105)"
"(472, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.363336121568416, 149.1652081423771, 0)","(-0.004597307648509741, -0.0012671597069129348, 3.4692869822131556)"
"(472, 234)","(-35.3632612, 149.1652381, 9.57)","(-35.36333607026654, 149.16520806748238, 0)","(0.0011114926310256124, -0.0011177220148965716, 3.469325367604391)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333608014462, 149.16520803080232, 0)","(-0.0008528133039362729, -0.001216893782839179, 3.469246212636129)"
"(473, 238)","(-35.3632612, 149.1652381, 9.57)","(-35.36333634226387, 149.16520824173875, 0)","(-0.004360302351415157, -0.0008871294558048248, 3.4692919890033167)"
"(472, 234)","(-35.3632612, 149.1652381, 9.57)","(-35.36333599231139, 149.16520800401534, 0)","(0.00153742462862283, -0.0008145682513713837, 3.4692607561694544)"
"(473, 238)","(-35.3632612, 149.1652381, 9.57)","(-35.36333611904809, 149.16520748663012, 0)","(-0.0007210769108496606, -0.0008207584032788873, 3.4693146387683313)"
"(473, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333628183751, 149.1652079987086, 0)","(-0.00427562789991498, -0.0009333710186183453, 3.469323221837179)"
"(472, 233)","(-35.3632612, 149.1652381, 9.57)","(-35.36333605787044, 149.1652081440154, 0)","(0.0018624349031597376, -0.0009598860051482916, 3.469337765370504)"
"(473, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333622206212, 149.16520771072882, 0)","(0.0002649124071467668, -0.0010480490745976567, 3.4692588488208216)"
"(473, 238)","(-35.3632612, 149.1652381, 9.57)","(-35.363336364411985, 149.16520824166727, 0)","(-0.004411999136209488, -0.0010190329048782587, 3.469346586857931)"
"(472, 233)","(-35.3632612, 149.1652381, 9.57)","(-35.363336081215685, 149.16520814354416, 0)","(0.0018427498871460557, -0.001099220011383295, 3.469242874776022)"
"(472, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333590335662, 149.16520733287393, 0)","(-0.0007187402807176113, -0.0013324515894055367, 3.4692400137530726)"
"(473, 237)","(-35.3632612, 149.1652381, 9.57)","(-35.363336440403955, 149.1652083652828, 0)","(-0.0040163262747228146, -0.0012390464544296265, 3.4693363348590296)"
"(472, 233)","(-35.3632612, 149.1652381, 9.57)","(-35.36333598099189, 149.16520814095318, 0)","(0.0020055125933140516, -0.0005976395914331079, 3.4693694750415247)"
"(473, 237)","(-35.3632612, 149.1652381, 9.57)","(-35.36333611590311, 149.1652077976032, 0)","(-0.0009745935094542801, -0.00040202532545663416, 3.4692350069629114)"
"(473, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.363336262317, 149.16520837778768, 0)","(-0.0026904335245490074, -0.00032651881338097155, 3.469330612813131)"
"(473, 233)","(-35.3632612, 149.1652381, 9.57)","(-35.36333616197325, 149.16520798706827, 0)","(0.00234774686396122, -0.00037281945697031915, 3.46934420267214)"
"(473, 238)","(-35.3632612, 149.1652381, 9.57)","(-35.36333618467275, 149.16520791205974, 0)","(-0.0026612996589392424, -0.0005871076136827469, 3.469286028538839)"
"(473, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333637689741, 149.16520832575682, 0)","(-0.002672603353857994, -0.000975833972916007, 3.469337288533346)"
"(472, 234)","(-35.3632612, 149.1652381, 9.57)","(-35.36333601041621, 149.1652078912626, 0)","(0.001971509540453553, -0.001083812559954822, 3.4693430105792444)"
"(473, 238)","(-35.3632612, 149.1652381, 9.57)","(-35.36333637154965, 149.1652080801716, 0)","(-0.003719805274158716, -0.0012814415385946631, 3.469297234212057)"
"(472, 234)","(-35.3632612, 149.1652381, 9.57)","(-35.363336301946845, 149.1652088239377, 0)","(-0.002553739817813039, -0.0012331759789958596, 3.4693260828601282)"
"(472, 233)","(-35.3632612, 149.1652381, 9.57)","(-35.363336191804386, 149.1652080706999, 0)","(0.001942983828485012, -0.0017366831889376044, 3.4693167845355433)"
"(472, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333629392683, 149.16520800722134, 0)","(-0.004321091342717409, -0.002334012882784009, 3.469271961842672)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.363336395747105, 149.16520834489495, 0)","(-0.002783970907330513, -0.0023745906073600054, 3.4693289438830774)"
"(471, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.363335903195356, 149.16520762489395, 0)","(0.0011878720251843333, -0.0022461414337158203, 3.4693425337420862)"
"(471, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333607127018, 149.16520817178974, 0)","(-0.004629934672266245, -0.0023251574020832777, 3.469276014958517)"
"(471, 235)","(-35.3632612, 149.1652381, 9.57)","(-35.36333607745555, 149.16520844620177, 0)","(-0.00220083212479949, -0.0023369938135147095, 3.4693480173694056)"
"(471, 235)","(-35.3632612, 149.1652381, 9.57)","(-35.363335857709, 149.16520781903307, 0)","(0.0009037701529450715, -0.002110295230522752, 3.469266716633932)"
"(471, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333591025422, 149.1652082416485, 0)","(-0.0052421810105443, -0.0017802967922762036, 3.4692350069629114)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333606833442, 149.16520798852846, 0)","(-0.0012889846693724394, -0.001579070813022554, 3.4693878332721155)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.3633359236792, 149.16520754457568, 0)","(0.0008655407000333071, -0.0014724588254466653, 3.4694417158709925)"
"(472, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333609723755, 149.16520822328175, 0)","(-0.005534500349313021, -0.001393718528561294, 3.469400946293966)"
"(472, 234)","(-35.3632612, 149.1652381, 9.57)","(-35.36333612565818, 149.1652085438819, 0)","(-0.0016686746384948492, -0.0010907547548413277, 3.469443146382467)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333590269268, 149.16520769744673, 0)","(0.0002677440061233938, -0.0011532974895089865, 3.469341818486349)"
"(472, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.363336033318106, 149.16520822690137, 0)","(-0.00541931064799428, -0.0010675200028344989, 3.469323698674337)"
"(472, 235)","(-35.3632612, 149.1652381, 9.57)","(-35.3633360228625, 149.1652081506497, 0)","(-0.0008365847752429545, -0.0011243560584262013, 3.469354216252462)"
"(472, 237)","(-35.3632612, 149.1652381, 9.57)","(-35.363335820138815, 149.16520751919555, 0)","(0.00012199654884170741, -0.000986380036920309, 3.469335381184713)"
"(472, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333605307756, 149.16520825964471, 0)","(-0.005596803966909647, -0.0011313451686874032, 3.4693291823016565)"
"(472, 234)","(-35.3632612, 149.1652381, 9.57)","(-35.36333610417962, 149.16520830032943, 0)","(-0.0010093607706949115, -0.0011945904698222876, 3.4694231192218226)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333592304818, 149.16520774018562, 0)","(-0.0003847703046631068, -0.0010765420738607645, 3.4693523089038294)"
"(327, 228)","(-35.3632612, 149.1652381, 9.57)","(-35.36326006003142, 149.16523453370198, 0)","(0.0022400214802473783, 0.00204878649674356, 0.2837117314338684)"
"(325, 228)","(-35.3632612, 149.1652381, 9.57)","(-35.36325988407539, 149.16523392418534, 0)","(-0.003073862288147211, -0.0024430553894490004, 0.28361204266548157)"
"(318, 223)","(-35.3632612, 149.1652381, 9.57)","(-35.36326051123266, 149.16523327481502, 0)","(-0.0017998816911131144, -0.005053457338362932, 0.2834091782569885)"
"(316, 224)","(-35.3632612, 149.1652381, 9.57)","(-35.363260880389014, 149.16523372106147, 0)","(0.002746144076809287, -0.006391799543052912, 0.2832050323486328)"
"(315, 227)","(-35.3632612, 149.1652381, 9.57)","(-35.363261009944665, 149.1652333968526, 0)","(-0.0022995853796601295, -0.006922125816345215, 0.28308090567588806)"
"(314, 223)","(-35.3632612, 149.1652381, 9.57)","(-35.36326111486429, 149.1652330416316, 0)","(4.19895259256009e-05, -0.006567720323801041, 0.2828916311264038)"
"(314, 223)","(-35.3632612, 149.1652381, 9.57)","(-35.36326139428802, 149.1652333820263, 0)","(0.0035736931022256613, -0.005511018447577953, 0.2828384339809418)"
"(315, 226)","(-35.3632612, 149.1652381, 9.57)","(-35.36326130587233, 149.16523304651824, 0)","(-0.002810019301250577, -0.004194061271846294, 0.2827872633934021)"
"(315, 222)","(-35.3632612, 149.1652381, 9.57)","(-35.36326135646569, 149.16523281724045, 0)","(-0.0004111021407879889, -0.003075258107855916, 0.28255850076675415)"
"(316, 223)","(-35.3632612, 149.1652381, 9.57)","(-35.363261424033034, 149.16523326954302, 0)","(0.002688048407435417, -0.0020845758263021708, 0.2825314998626709)"
"(317, 227)","(-35.3632612, 149.1652381, 9.57)","(-35.363261306593266, 149.16523307266831, 0)","(-0.0036375003401190042, -0.0014322253409773111, 0.2823507785797119)"
"(318, 222)","(-35.3632612, 149.1652381, 9.57)","(-35.363261064273175, 149.16523284718338, 0)","(-0.0007433670689351857, -0.0009736201609484851, 0.28219279646873474)"
"(318, 224)","(-35.3632612, 149.1652381, 9.57)","(-35.3632611981621, 149.16523336581577, 0)","(0.0020777329336851835, -0.0008532795473001897, 0.2821666896343231)"
"(319, 227)","(-35.3632612, 149.1652381, 9.57)","(-35.36326103585674, 149.16523319375793, 0)","(-0.0031074064318090677, -0.0007416997686959803, 0.2821430563926697)"
"(319, 222)","(-35.3632612, 149.1652381, 9.57)","(-35.36326084484931, 149.1652328417012, 0)","(-0.002032431773841381, -0.0005753652658313513, 0.28198179602622986)"
"(320, 223)","(-35.3632612, 149.1652381, 9.57)","(-35.3632608607097, 149.165233455378, 0)","(0.0023136038798838854, -0.0005449304007925093, 0.28187140822410583)"
"(321, 228)","(-35.3632612, 149.1652381, 9.57)","(-35.363260735096574, 149.16523347921353, 0)","(-0.0031697505619376898, -0.0005381436203606427, 0.2816995680332184)"
"(321, 222)","(-35.3632612, 149.1652381, 9.57)","(-35.36326064300569, 149.16523298106418, 0)","(-0.0014392618322744966, -0.00026802255888469517, 0.2815757095813751)"
"(322, 225)","(-35.3632612, 149.1652381, 9.57)","(-35.36326060369542, 149.1652337770181, 0)","(0.002514204476028681, -0.00021431663481052965, 0.2815644443035126)"
"(323, 227)","(-35.3632612, 149.1652381, 9.57)","(-35.36326035246253, 149.16523336805668, 0)","(-0.003954164683818817, -0.0004557942447718233, 0.2816012501716614)"
"(322, 222)","(-35.3632612, 149.1652381, 9.57)","(-35.36326043636868, 149.1652331789107, 0)","(-4.1815532313194126e-05, -0.000500426918733865, 0.28128907084465027)"
"(323, 224)","(-35.3632612, 149.1652381, 9.57)","(-35.363260437478374, 149.16523368186512, 0)","(0.002230073558166623, -0.0003408881020732224, 0.2814478576183319)"
"(324, 227)","(-35.3632612, 149.1652381, 9.57)","(-35.36326023631557, 149.1652334067882, 0)","(-0.003974038176238537, -0.000387522712117061, 0.2813229262828827)"
"(323, 222)","(-35.3632612, 149.1652381, 9.57)","(-35.36326031442281, 149.16523318744325, 0)","(-0.00034390948712825775, -0.0004154271737206727, 0.2811734974384308)"
